AltName02,ABV,ProductDesc01,Brand,ItemNumber,Type,,SubBrand,,AltName03,AltName04,AltName05,AltName06,AltName07,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,,,ProductDesc02,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,Prop65 text,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays
"SVEDKA Mango Pineapple Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Get an island beat for the city street with this tropical blend of ripe Filipino mango and juicy pineapple flavors. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Mai Tai, SVEDKA Mango Pineapple Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80020689,Spirits,,,,"SVEDKA Mango Pineapple Vodka, 750 mL bottle, 70 Proof",Mango Pineapple Vodka 750mL,"SVEDKA Mango Pineapple Vodka - 750mL Bottle, 70 Proof",Mango Pineapple Vodka,"Mango Pineapple Vodka, 70 Proof",750,mL,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Mango Pineapple Vodka has a tropical blend of ripe Filipino mango and juicy pineapple flavors.,Tropical blend of ripe Filipino mango and juicy pineapple flavors,"Smooth and easy drinking with a subtle, rounded sweetness",Ideal for a Mai Tai and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Mango Pineapple Vodka, 1.75 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Get an island beat for the city street with this tropical blend of ripe Filipino mango and juicy pineapple flavors. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Mai Tai, SVEDKA Mango Pineapple Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80020693,Spirits,,,,"SVEDKA Mango Pineapple Vodka, 1.75 L bottle, 70 Proof",Mango Pineapple Vodka 1.75L,"SVEDKA Mango Pineapple Vodka - 1.75L Bottle, 70 Proof",Mango Pineapple Vodka,"Mango Pineapple Vodka, 70 Proof",1.75,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Mango Pineapple Vodka has a tropical blend of ripe Filipino mango and juicy pineapple flavors.,Tropical blend of ripe Filipino mango and juicy pineapple flavors,"Smooth and easy drinking with a subtle, rounded sweetness",Ideal for a Mai Tai and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,4.3,4.3,12.65,Inches,6.26,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Clementine Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Make a bold statement with this vodka infused with all-natural orange flavors. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Bloody Sunrise, SVEDKA Clementine Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023372,Spirits,,,,"SVEDKA Clementine Vodka, 1 L bottle, 70 Proof",Clementine Vodka 1L,"SVEDKA Clementine Vodka - 1L Bottle, 70 Proof",Clementine Vodka,"Clementine Vodka, 70 Proof",1,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Clementine Vodka is infused with all-natural orange flavors. Ideal addition to countless cocktail recipes.,Infused with all-natural orange flavors,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Bloody Sunrise and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Raspberry Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Razz it up with this ripe and luscious raspberry-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Raspberry Freeze, SVEDKA Raspberry Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023406,Spirits,,,,"SVEDKA Raspberry Vodka, 750 mL bottle, 70 Proof",Raspberry Vodka 750mL,"SVEDKA Raspberry Vodka - 750mL Bottle, 70 Proof",Raspberry Vodka,"Raspberry Vodka, 70 Proof",750,mL,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. Razz it up with this ripe and luscious raspberry-flavored vodka. SVEDKA Raspberry is an ideal addition to cocktail recipes.,Ripe and luscious raspberry flavor,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for Raspberry Freeze and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Raspberry Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Razz it up with this ripe and luscious raspberry-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Raspberry Freeze, SVEDKA Raspberry Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023407,Spirits,,,,"SVEDKA Raspberry Vodka, 1 L bottle, 70 Proof",Raspberry Vodka 1L,"SVEDKA Raspberry Vodka - 1L Bottle, 70 Proof",Raspberry Vodka,"Raspberry Vodka, 70 Proof",1,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. Razz it up with this ripe and luscious raspberry-flavored vodka. SVEDKA Raspberry is an ideal addition to cocktail recipes.,Ripe and luscious raspberry flavor,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Raspberry Freeze and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Raspberry Vodka, 1.75 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Razz it up with this ripe and luscious raspberry-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Raspberry Freeze, SVEDKA Raspberry Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023408,Spirits,,,,"SVEDKA Raspberry Vodka, 1.75 L bottle, 70 Proof",Raspberry Vodka 1.75L,"SVEDKA Raspberry Vodka - 1.75L Bottle, 70 Proof",Raspberry Vodka,"Raspberry Vodka, 70 Proof",1.75,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. Razz it up with this ripe and luscious raspberry-flavored vodka. SVEDKA Raspberry is an ideal addition to cocktail recipes.,Ripe and luscious raspberry flavor,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Raspberry Freeze and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,4.3,4.3,12.65,Inches,6.26,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Cherry Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. This fine vodka was made with the all-natural flavors of Montmorency cherries. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Cherry Cobbler Freeze, SVEDKA Cherry Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023409,Spirits,,,,"SVEDKA Cherry Vodka, 750 mL bottle, 70 Proof",Cherry Vodka 750mL,"SVEDKA Cherry Vodka - 750mL Bottle, 70 Proof",Cherry Vodka,"Cherry Vodka, 70 Proof",750,mL,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Cherry Vodka is made with the all-natural flavors of Montmorency cherries. Ideal addition to cocktail recipes.,All-natural flavors of Montmorency cherries,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Cherry Cobbler Freeze and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Cherry Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. This fine vodka was made with the all-natural flavors of Montmorency cherries. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Cherry Cobbler Freeze, SVEDKA Cherry Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023410,Spirits,,,,"SVEDKA Cherry Vodka, 1 L bottle, 70 Proof",Cherry Vodka 1L,"SVEDKA Cherry Vodka - 1L Bottle, 70 Proof",Cherry Vodka,"Cherry Vodka, 70 Proof",1,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Cherry Vodka is made with the all-natural flavors of Montmorency cherries. Ideal addition to cocktail recipes.,All-natural flavors of Montmorency cherries,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Cherry Cobbler Freeze and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.79,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Cherry Vodka, 1.75 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. This fine vodka was made with the all-natural flavors of Montmorency cherries. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Cherry Cobbler Freeze, SVEDKA Cherry Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023411,Spirits,,,,"SVEDKA Cherry Vodka, 1.75 L bottle, 70 Proof",Cherry Vodka 1.75L,"SVEDKA Cherry Vodka - 1.75L Bottle, 70 Proof",Cherry Vodka,"Cherry Vodka, 70 Proof",1.75,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Cherry Vodka is made with the all-natural flavors of Montmorency cherries. Ideal addition to cocktail recipes.,All-natural flavors of Montmorency cherries,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Cherry Cobbler Freeze and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,4.3,4.3,12.65,Inches,6.26,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Vanilla Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool.  Sweet but sinful, this fine vodka has all-natural vanilla flavors with a subtle note of whipped cream. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Cookies and Cream Martini, SVEDKA Vanilla Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023412,Spirits,,,,"SVEDKA Vanilla Vodka, 750 mL bottle, 70 Proof",Vanilla Vodka 750mL,"SVEDKA Vanilla Vodka - 750mL Bottle, 70 Proof",Vanilla Vodka,"Vanilla Vodka, 70 Proof",750,mL,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Sweet but sinful, SVEDKA Vanilla Vodka has all-natural vanilla flavors with a subtle note of whipped cream.",All-natural vanilla flavors with a subtle note of whipped cream,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Cookie's and Cream Martini and  countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Vanilla Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool.  Sweet but sinful, this fine vodka has all-natural vanilla flavors with a subtle note of whipped cream. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Cookies and Cream Martini, SVEDKA Vanilla Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023413,Spirits,,,,"SVEDKA Vanilla Vodka, 1 L bottle, 70 Proof",Vanilla Vodka 1L,"SVEDKA Vanilla Vodka - 1L Bottle, 70 Proof",Vanilla Vodka,"Vanilla Vodka, 70 Proof",1,L,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Sweet but sinful, SVEDKA Vanilla Vodka has all-natural vanilla flavors with a subtle note of whipped cream.",All-natural vanilla flavors with a subtle note of whipped cream,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Cookie's and Cream Martini and  countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.79,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Peach Vodka, 375 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Make the ripe choice with this deliciously fruity peach-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023611,Spirits,,,,"SVEDKA Peach Vodka, 375 mL bottle, 70 Proof",Peach Vodka 375mL,"SVEDKA Peach Vodka - 375mL Bottle, 70 Proof",Peach Vodka,"Peach Vodka, 70 Proof",375,mL,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Make the ripe choice with this deliciously fruity peach-flavored vodka. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka.",Deliciously fruity peach-flavored vodka,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Bitter Pink Peach and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,2.61,2.61,8.19,Inches,1.5899999999999999,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Peach Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Make the ripe choice with this deliciously fruity peach-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023612,Spirits,,,,"SVEDKA Peach Vodka, 750 mL bottle, 70 Proof",Peach Vodka 750mL,"SVEDKA Peach Vodka - 750mL Bottle, 70 Proof",Peach Vodka,"Peach Vodka, 70 Proof",750,mL,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Make the ripe choice with this deliciously fruity peach-flavored vodka. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka.",Deliciously fruity peach-flavored vodka,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Bitter Pink Peach and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Peach Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Make the ripe choice with this deliciously fruity peach-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023613,Spirits,,,,"SVEDKA Peach Vodka, 1 L bottle, 70 Proof",Peach Vodka 1L,"SVEDKA Peach Vodka - 1L Bottle, 70 Proof",Peach Vodka,"Peach Vodka, 70 Proof",1,L,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Make the ripe choice with this deliciously fruity peach-flavored vodka. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka.",Deliciously fruity peach-flavored vodka,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Bitter Pink Peach and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Peach Vodka, 1.75 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Make the ripe choice with this deliciously fruity peach-flavored vodka. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023614,Spirits,,,,"SVEDKA Peach Vodka, 1.75 L bottle, 70 Proof",Peach Vodka 1.75L,"SVEDKA Peach Vodka - 1.75L Bottle, 70 Proof",Peach Vodka,"Peach Vodka, 70 Proof",1.75,L,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Make the ripe choice with this deliciously fruity peach-flavored vodka. Perfect for a Bitter Pink Peach, SVEDKA Peach Vodka.",Deliciously fruity peach-flavored vodka,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Bitter Pink Peach and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,4.3,4.3,12.65,Inches,6.26,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Grapefruit Jalapeno Vodka, 1.75 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. It combines sweet and tart grapefruit flavors with a hot and spicy jalapeno kick. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. SVEDKA Grapefruit Jalapeno Vodka has a balanced body that is an ideal addition to many cocktail recipes.",SVEDKA,80026767,Spirits,,,,"SVEDKA Grapefruit Jalapeno Vodka, 1.75 L bottle, 70 Proof",Grapefruit Jalapeno Vodka 1.75L,"SVEDKA Grapefruit Jalapeno Vodka - 1.75L Bottle, 70 Proof",Grapefruit Jalapeno Vodka,"Grapefruit Jalapeno Vodka, 70 Proof",1.75,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Grapefruit Jalapeno Vodka combines sweet and tart grapefruit flavors with a hot and spicy jalapeno kick.,Sweet and tart grapefruit flavors with a hot and spicy jalapeno kick,"Smooth and easy drinking with a subtle, rounded sweetness",An ideal addition to many cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,4.3,4.3,12.65,Inches,6.26,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Vodka, 1 L Bottle, 100 Proof",50,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Cosmopolitan or Vodka Martini, SVEDKA Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80026775,Spirits,,,,"SVEDKA Vodka, 1 L bottle, 100 Proof",Vodka 1L,"SVEDKA Vodka - 1L Bottle, 100 Proof",Vodka,"Vodka, 100 Proof",1,L,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails.","Pure, clear taste and crisp finish","Smooth and easy drinking with a subtle, rounded sweetness","Ideal for a Cosmopolitan, Vodka Martini, and countless cocktail recipes","All natural, made from the finest spring water and Swedish winter wheat",Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.67,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Vodka, 750 mL Bottle, 100 Proof",50,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Cosmopolitan or Vodka Martini, SVEDKA Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80026834,Spirits,,,,"SVEDKA Vodka, 750 mL bottle, 100 Proof",Vodka 750mL,"SVEDKA Vodka - 750mL Bottle, 100 Proof",Vodka,"Vodka, 100 Proof",750,mL,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails.","Pure, clear taste and crisp finish","Smooth and easy drinking with a subtle, rounded sweetness","Ideal for a Cosmopolitan, Vodka Martini, and countless cocktail recipes",Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.75,Pounds,Ambient: Room Temperature,Shelf Life,9999
