name,ProductDesc01,ABV,Brand,ItemNumber,Type,,SubBrand,,AltName03,AltName04,AltName05,AltName06,AltName07,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,,,ProductDesc02,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,Prop65 text,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays
"Clos du Bois Sonoma Reserve Russian River Valley Chardonnay, White Wine, 750 mL Bottle","Clos du Bois Winery farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Sonoma Reserve Chardonnay has a brilliant silver straw hue with intense aromas of ripe pear, apple, and lemon with notes of toast and warm, brown spice. Ripe pear, apple, and citrus flavors with hints of roasted marshmallow layer over underlying flinty minerality. This white wine is full-bodied with a rich, silky texture and a long finish. The structure of this wine will allow it to develop additional complexity with bottle age.",13.5,Clos du Bois,80000461,Wine,,Sonoma Reserve,,"Clos du Bois Sonoma Reserve Russian River Valley Chardonnay, White Wine, 750 mL bottle",Sonoma Reserve Chardonnay Wine 750mL,"Clos du Bois Sonoma Reserve Russian River Valley Chardonnay, White Wine - 750mL Bottle",Sonoma Reserve Russian River Valley Chardonnay White Wine,Sonoma Reserve Russian River Valley Chardonnay White Wine,750,mL,1,,Bottle,,,"Clos du Bois Sonoma Reserve Chardonnay has aromas of ripe pear, apple, and lemon with notes of toast and warm, brown spice. This white wine has fruit flavors with hints of roasted marshmallow.","Intense aromas of pear, apple, and lemon with notes of warm, brown spice","Ripe pear, apple, and citrus flavors with hints of roasted marshmallow","Full-bodied with a rich, silky texture and a long finish","Crafted to achieve balance, intensity, and true varietal character",From the vibrantly diverse wine regions of Sonoma County and Coastal California,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.24,3.24,11.67,Inches,3.1,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Clos du Bois Sonoma Reserve Alexander Valley Cabernet Sauvignon, Red Wine, 750 mL Bottle","Clos du Bois farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Cabernet Sauvignon Sonoma Reserve Alexander Valley is deep ruby in color with complex aromas of blackberry, cassis, cedar, brown spice, and toasty oak that liven the senses. In the mouth, this red wine has dense black cherry flavors with hints of mocha and espresso. The wine has structured tannins, a full body, and a long, silky finish.",14.5,Clos du Bois,80000459,Wine,,Sonoma Reserve,,"Clos du Bois Sonoma Reserve Alexander Valley Cabernet Sauvignon, Red Wine, 750 mL bottle",Sonoma Reserve Cabernet Sauvignon Wine 750mL,"Clos du Bois Sonoma Reserve Alexander Valley Cabernet Sauvignon, Red Wine - 750mL Bottle",Sonoma Reserve Alexander Valley Cabernet Sauvignon Red Wine,Sonoma Reserve Alexander Valley Cabernet Sauvignon Red Wine,750,mL,1,,Bottle,,,"Clos du Bois Sonoma Reserve Cabernet Sauvignon has aromas of blackberry, black currant, mocha, and cedar with dense concentrated black fruit flavors of black cherry, blackberry and black currant.","Complex aromas of blackberry, cassis, cedar, brown spice, and toasty oak",Dense black cherry flavors with hints of mocha and espresso,"Comprised of structured tannins, full body, and long, silky finish","Crafted to achieve balance, intensity, and true varietal character",From the vibrantly diverse wine regions of Sonoma County and Coastal California,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.03,3.03,11.88,Inches,3.03,Pounds,Ambient: Room Temperature,Shelf Life,1460
"Clos du Bois Sauvignon Blanc, White Wine, 750 mL Bottle","Clos du Bois Winery farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Sauvignon Blanc displays aromas of lime zest, delicate florals, and lemongrass. In the mouth, flavors of minerality and lively, juicy fruit lead to a long, refreshing finish. This refreshing white wine pairs well with light fare from all seasons - especially shellfish and salads.",13.5,Clos du Bois,80028850,Wine,,,,"Clos du Bois Sauvignon Blanc, White Wine, 750 mL bottle",Sauvignon Blanc Wine 750mL,"Clos du Bois Sauvignon Blanc, White Wine - 750mL Bottle",Sauvignon Blanc White Wine,Sauvignon Blanc White Wine,750,mL,1,,Bottle,,,"Clos du Bois Sauvignon Blanc has aromas of lime zest, delicate florals, and lemongrass. In the mouth, this white wine has flavors of minerality and juicy fruit leading to a long, refreshing finish.","Aromas of lime zest, delicate florals, and lemongrass","Flavors of minerality and lively, juicy fruit lead to a long, refreshing finish",Pairs well with light fare  - especially shellfish and salads,"Crafted to achieve balance, intensity, and true varietal character",From the vibrantly diverse wine regions of Sonoma County and Coastal California,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.03,3.03,11.88,Inches,2.89,Pounds,Ambient: Room Temperature,Shelf Life,730
"Cook's California Champagne Brut, White Sparkling Wine, 4 pk 187 mL Bottles","Cook’s California Champagne is produced at the Mission Bell Winery in Madera, California. Cook’s began in 1859 when Isaac Cook created the first American champagne. Cook's wines have been continuing the tradition of being quality champagnes ever since. Fruity and fresh, this medium-dry Prosecco-style sparkling wine features ripe aromas and flavors of apple and pear balanced by toasty yeast and floral nuances. Cook's California Champagne sparkling wines are perfect for every celebration. Best served chill.",11.5,Cook's,907471,Wine,,,,"Cook's California Champagne Brut, White Sparkling Wine, 4 pk 187 mL bottles",California Champagne Brut Wine 4pk 187mL,"Cook's California Champagne Brut, White Wine - 4pk / 187mL Bottles",Sparkling California Champagne Brut White Wine,California Champagne Brut White Sparkling Wine,187,mL,4,Pack,Bottles,,,Cook’s California Champagne Brut is fruity and fresh. This medium-dry Prosecco-style sparkling wine features ripe aromas and flavors of apple and pear balanced by toasty yeast and floral nuances.,"Fruity and fresh, medium-dry Prosecco-style sparkling wine",Aromas and flavors of apple and pear balanced by toasty yeast and florals,Best served chilled,"Produced at the Mission Bell Winery in Madera, California",Continuing a tradition of creating quality champagnes since 1859,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,United States,United States,4.38,4.38,7.45,Inches,3.9699999999999998,Pounds,Ambient: Room Temperature,Shelf Life,270
"Diseno Red Blend, Red Wine, 750 mL Bottle","Argentina’s best-known appellation, Mendoza, instills confidence plus consistency with every vintage as we source from the premium sub-regions Valle de Uco and Lujan de Cuyo. Inert, flavorless, colorless, and odorless gases preserve the wine as it is pushed through the barrels, eliminating oxidation and preventing spoilage. This red wine has intense raspberry and blueberry aromas with notes of violet, cocoa, and coffee from oak aging. It shows pleasant acidity and soft tannins, finishing with a lingering note of toastiness.",13.5,Diseno,80023648,Wine,,,,"Diseno Red Blend, Red Wine, 750 mL bottle",Red Blend Wine 750mL,"Diseno Red Blend, Red Wine - 750mL Bottle",Red Blend Red Wine,Red Blend Red Wine,750,mL,1,,Bottle,,,"Diseno Red Blend has raspberry and blueberry aromas with notes of violet, cocoa, and coffee from oak aging. It shows pleasant acidity and soft tannins, finishing with a lingering note of toastiness.","Intense raspberry and blueberry aromas with notes of violet, cocoa, and coffee","Pleasant acidity and soft tannins, finishing with a lingering note of toastiness","Inert, flavorless, colorless, and odorless gases preserve the wine",Argentina appellation,Sourced from the premium sub-regions Valle de Uco and Lujan de Cuyo,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Argentina,Argentina,3.26,3.26,11.77,Inches,3.22,Pounds,Ambient: Room Temperature,Shelf Life,1825
"The Dreaming Tree Chardonnay, White Wine, 750 mL Bottle","An exciting collaboration between musician Dave Matthews and winemaker Sean McKenzie, The Dreaming Tree captures the spirit of California's wine country. At The Dreaming Tree, our winemaker repeatedly demonstrates his ability to preserve California’s most prestigious growing regions and their respective styles through the portfolio’s stellar lineup. The Dreaming Tree winery is a Certified California Sustainable Winegrowing winery, which is part of the California Sustainable Winegrowing Alliance third-party Certification Program promoting sustainable practices. This California Chardonnay captures the flavor of the Central Coast with its big fruit, load of spice, and distinct pear and peach notes. This well balanced, medium-bodied white wine is rich and fruity up front, with a crisp and elegant finish and is easy to enjoy while hanging out with friends or complementing a nice meal. Delicious with grilled seafood, goat cheese and mushroom pizza, herb-roasted chicken, or stone fruit, ricotta, and arugula salad. Appellation: California (100% Central Coast). Varietal: 100% chardonnay.",13.5,The Dreaming Tree,80028417,Wine,,,,"The Dreaming Tree Chardonnay, White Wine, 750 mL bottle",Chardonnay Wine 750mL,"The Dreaming Tree Chardonnay, White Wine - 750mL Bottle",Chardonnay White Wine,Chardonnay White Wine,750,mL,1,,Bottle,,,"The Dreaming Tree Chardonnay offers big fruit, spice, and distinct pear and peach notes. This California white wine is delicious with grilled seafood or goat cheese and mushroom pizza.","Toasty and rich up front, finishing crisp and elegant","Big fruit, load of spice, and distinct pear and peach notes","Delicious with grilled seafood, goat cheese and mushroom pizza, herb-roasted chicken",Appellation: California (100% Central Coast),Varietal: 100% chardonnay,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.21,3.21,11.63,Inches,2.7199999999999998,Pounds,Ambient: Room Temperature,Shelf Life,1095
"The Dreaming Tree Pinot Noir, Red Wine, 750 mL Bottle","An exciting collaboration between musician Dave Matthews and winemaker Sean McKenzie, The Dreaming Tree captures the spirit of California's wine country. At The Dreaming Tree, our winemaker repeatedly demonstrates his ability to preserve California’s most prestigious growing regions and their respective styles through the portfolio’s stellar lineup. The Dreaming Tree winery is a Certified California Sustainable Winegrowing winery, which is part of the California Sustainable Winegrowing Alliance third-party Certification Program promoting sustainable practices. This California Pinot Noir is bright ruby in color with ripe flavors and aromas of cherry, wild strawberry, vanilla, and caramel. This red wine has unique complexity with soft, juicy tannins. It is perfect for enjoying with friends or complementing a nice meal. Serve with roast lamb, grilled salmon, and mushroom risotto. Appellation: California (70% Central Coast). Varietal: 100% pinot noir.",13.5,The Dreaming Tree,80027101,Wine,,,,"The Dreaming Tree Pinot Noir, Red Wine, 750 mL bottle",Pinot Noir Wine 750mL,"The Dreaming Tree Pinot Noir, Red Wine - 750mL Bottle",Pinot Noir Red Wine,Pinot Noir Red Wine,750,mL,1,,Bottle,,,"The Dreaming Tree Pinot Noir offers ripe flavors of cherry, wild strawberry, vanilla, and caramel. This California red wine has unique complexity with soft tannins. Serve with roast lamb or salmon.","Flavors and aromas of cherry, wild strawberry, and toasty caramel","Complex with generous fruit and soft, juicy tannins","Delicious with roast lamb, grilled salmon, and mushroom risotto",Appellation: California (70% Central Coast),Varietal: 100% pinot noir,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.21,3.21,11.63,Inches,2.7,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Estancia Pinot Grigio, White Wine, 750 mL Bottle","Estancia's vineyard lies in the Thermal Rainbow of Monterey County appellation, which features midday heat tempered by morning and late-afternoon fog-perfect for developing the intense fruit character. Pinnacles Vineyard was one of the first vineyards in California to be planted with a permanent irrigation system. This pinot grigio opens with aromas of fresh jasmine, lemongrass, lychee, and lime with flavors of Fuji apple and Asian pear with hints of lemon zest on the finish. Pairs well with smoked salmon, tuna, citrus sauces, seafood, poultry and pork. Varietal: 100% pinot grigio.",13.5,Estancia,80000667,Wine,,,,"Estancia Pinot Grigio, White Wine, 750 mL bottle",Pinot Grigio Wine 750mL,"Estancia Pinot Grigio, White Wine - 750mL Bottle",Pinot Grigio White Wine,Pinot Grigio White Wine,750,mL,1,,Bottle,,,"Estancia Pinot Grigio is grown in select California vineyards, where chilly ocean breezes produce grapes with balanced taste and concentrated flavors in this white wine.","Aromas of fresh jasmine, lemongrass, lychee, and lime",Flavors of Fuji apple and Asian pear with hints of lemon zest,"Pairs well with smoked salmon, tuna, citrus sauces, seafood, poultry and pork",California appellation,Varietal: 100% pinot grigio,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.17,3.17,11.75,Inches,3.12,Pounds,Ambient: Room Temperature,Shelf Life,730
"Estancia Merlot, Red Wine, 750 mL Bottle","Estancia's vineyard lies in the Thermal Rainbow of Monterey County appellation, which features midday heat tempered by morning and late-afternoon fog-perfect for developing the intense fruit character. Pinnacles Vineyard was one of the first vineyards in California to be planted with a permanent irrigation system. This merlot has aromas of dark fruit, blueberry, vanilla, and cherry with a well-balanced flavor of cherry, cranberry, and marzipan, complemented by a lingering, toasty vanilla finish. Varietal: 100% merlot.",13.5,Estancia,80000666,Wine,,,,"Estancia Merlot, Red Wine, 750 mL bottle",Merlot Wine 750mL,"Estancia Merlot, Red Wine - 750mL Bottle",Merlot Red Wine,Merlot Red Wine,750,mL,1,,Bottle,,,"Fruit from cooler Monterey County lends exquisite texture and suppleness, while fruit from other growing regions add to the concentrated fruit aromas and flavors of this Estancia Merlot red wine.","Aromas of dark fruit, blueberry, vanilla, and cherry","Well-balanced flavor of cherry, cranberry, and marzipan, with a lingering, toasty vanilla finish",From the Thermal Rainbow of Monterey County appellation,Midday heat tempered by morning and late-afternoon fog develop intense fruit character,Varietal: 100% merlot,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.18,3.18,11.75,Inches,2.7800000000000002,Pounds,Ambient: Room Temperature,Shelf Life,730
"Estancia Reserve Meritage, Red Wine, 750 mL Bottle","Estancia's vineyard lies in the Thermal Rainbow of Monterey County appellation, which features midday heat tempered by morning and late-afternoon fog-perfect for developing the intense fruit character. Pinnacles Vineyard was one of the first vineyards in California to be planted with a permanent irrigation system. This meritage red wine displays a rich, exquisite mouthfeel, velvety tannins, and ripe fruit balanced with notes of chocolate and French vanilla. Pairs well with steak, poultry, cauliflower, fruit and seafood. Varietal: 55% cabernet sauvignon, 22% merlot, 18% petit verdot, 5% malbec.",14.5,Estancia,80000678,Wine,,Reserve,,"Estancia Reserve Meritage, Red Wine, 750 mL bottle",Reserve Meritage Wine 750mL,"Estancia Reserve Meritage, Red Wine - 750mL Bottle",Reserve Meritage Red Wine,Reserve Meritage Red Wine,750,mL,1,,Bottle,,,Estancia Meritage showcases the finest red blend from our Paso Robles vineyards. Our label assures that this red wine is a blend of at least two of the five red Bordeaux varieties.,"Rich, exquisite mouthfeel, velvety tannins, and ripe fruit",Balanced with notes of chocolate and French vanilla,"Pairs well with steak, poultry, cauliflower, fruit and seafood",Paso Robles appellation,"Varietal: 55% cabernet sauvignon, 22% merlot, 18% petit verdot, 5% malbec","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.08,3.08,12.94,Inches,3.38,Pounds,Ambient: Room Temperature,Shelf Life,730
"Ruffino Chianti DOCG, Red Wine, 750 mL Bottle","Pair Ruffino Chianti DOCG with a variety of traditional Italian dishes such as ravioli, margherita pizza, and beef carpaccio. It will be simply perfect. This red wine's brightness and acidity also make it a great companion for international favorites such as the classic hamburger. Grapes from the best-known regions of Chianti are used to make our Chianti DOCG. Fermentation is aided by racking and punch-downs in temperature-controlled stainless steel and concrete vats. Our Chianti DOCG is then aged for four months in stainless steel and concrete vats. Chianti DOCG occupies a special place in the heart - and history - of Ruffino. When Ilario and Leopoldo Ruffino founded the winery in 1877, the first wine they produced was a Chianti. And it was the reputation of this wine that launched Ruffino's early success. In fact, before World War I Ruffino was the only Chianti exported from Italy to the United States, making it an ambassador to wine lovers around the world. In keeping with tradition, Chianti DOCG features a distinct Florentine bottle reminiscent of the fiasco, the straw-dressed flask in which Chianti was originally bottled. Today, Ruffino Chianti DOCG serves as a benchmark for quality and consistency. For many wine lovers worldwide, Ruffino Chianti is Chianti.",12.5,Ruffino,80001505,Wine,,Chianti,,"Ruffino Chianti DOCG, Red Wine, 750 mL bottle",Chianti DOCG Wine 750mL,"Ruffino Chianti, Red DOCG Wine - 750mL Bottle",Chianti DOCG Red Wine,Chianti DOCG Red Wine,750,mL,1,,Bottle,,,"Ruffino Chianti DOCG is an approachable, easy-drinking red wine that has predominantly fruity and floral aromatics, with hints of spice and hazelnut. Pairs well with classic Italian dishes.","Fruity and floral aromatics, with hints of spice and hazelnut",Soft on the palate with a medium body and nice balance,"Pair with traditional Italian dishes such as ravioli, margherita pizza, and beef carpacci",Made from grapes from the best-known regions of Chianti,"70% Sangiovese, 30% Merlot & Cabernet Sauvignon","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Italy,Italy,3.5,3.5,11.19,Inches,2.84,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Ruffino Moscato, White Wine, 750 mL Bottle","Producing the best Tuscan wines means having access to the best vineyards. With this in mind, Ruffino has, over the years, assembled a collection of top estates in Tuscany's most important fine wine appellations. Starting with the best quality fruit, Ruffino wines reveal themselves without coaxing or manipulation. This is the essence of Ruffino's traditional approach to making wine. Hints of sage and citrus fruit give way to distinct notes of peach and orange blossoms in this Moscato. The wine delivers a pleasantly sweet taste, perfectly tempered by the freshness offered by its refined bubbles. Pairs well with fresh bread, salami, figs, and melon.",6,Ruffino,80021688,Wine,,,,"Ruffino Moscato, White Wine, 750 mL bottle",Moscato Wine 750mL,"Ruffino Moscato, White Wine - 750mL Bottle",Moscato White Wine,Moscato White Wine,750,mL,1,,Bottle,,,,Hints of sage and citrus with notes of peach and orange blossoms,"Delivers a pleasantly sweet taste, perfectly tempered by its refined bubbles","Pair with fresh bread, salami, figs, and melon",Top quality of fruit is Ruffino's traditional approach to making wine,Best Tuscan wines straight from top vineyards,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","SPARKLING WARNING: BE CAREFUL! Point bottle away from self and others to avoid serious eye injury.  Stopper may eject forcefully while you are removing the hood or at any time after hood removal.  Bottle contains high pressure which increases with warmth or shaking.  To open: (1) chill well, (2) do not shake, (3) point bottle away from self and others, (4) remove hood, (5) twist stopper out slowly by hand.  NEVER use a cork remover or reinsert stopper.",false,,Italy,Italy,3.2800000000000002,3.2800000000000002,12.19,Inches,2.7,Pounds,Ambient: Room Temperature,Shelf Life,1460
"Ruffino Riserva Ducale Chianti Classico DOCG, Red Wine, 750 mL Bottle","Producing the best Tuscan wines means having access to the best vineyards. With this in mind, Ruffino has, over the years, assembled a collection of top estates in Tuscany's most important fine wine appellations. Starting with the best quality fruit, Ruffino wines reveal themselves without coaxing or manipulation. This is the essence of Ruffino's traditional approach to making wine. This complex and deep red wine is characterized by sweet cherry and red berry fruit notes with delicately spiced hints of tobacco, leather, cedar, white pepper, and a touch of flint. Pair with prosciutto, mushroom risotto, and chicken cacciatore.",13.5,Ruffino,80001546,Wine,,Riserva Ducale,,"Ruffino Riserva Ducale Chianti Classico DOCG, Red Wine, 750 mL bottle",Riserva Ducale DOCG Wine 750mL,"Ruffino Riserva Ducale Chianti Classico, Red DOCG Wine - 750mL Bottle",Riserva Ducale Chianti Classico DOCG Red Wine,Riserva Ducale Chianti Classico DOCG Red Wine,750,mL,1,,Bottle,,,,Deep wine characterized by sweet cherry and red berry fruit notes,"Hints of tobacco, leather, cedar, white pepper, and a touch of flint","Pair with prosciutto, mushroom risotto, and chicken cacciatore",Top quality of fruit is Ruffino's traditional approach to making wine,Best Tuscan wines straight from top vineyards,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Italy,Italy,2.9699999999999998,2.9699999999999998,11.92,Inches,2.69,Pounds,Ambient: Room Temperature,Shelf Life,1460
"Meiomi Rose, Blush Wine, 750 mL Bottle","To create the unrivaled taste of Meiomi, we grow our grapes in three sought after regions along the California coast —Monterey, Sonoma, and Santa Barbara counties. Fruit from all three exceptional maritime regions is blended to create a richly layered, well-balanced, and expressive Rosé. Dry with vibrant floral aromas, mouthwatering fruit flavors of strawberry and cranberry complemented by notes of rose petal. This blush wine pairs well with a roasted beet salad with goat cheese or halibut fish tacos. Best enjoyed chilled.",13.9,Meiomi,80057063,Wine,,,,"Meiomi Rose, Blush Wine, 750 mL bottle",Rose Wine 750mL,"Meiomi Rose, Blush Wine - 750mL Bottle",Rose Blush Wine,Rose Blush Wine,750,mL,1,,Bottle,,,Meiomi Rose is made from grapes grown in three sought after regions along the California coast. This blush wine has floral aromas and flavors of strawberry and cranberry with notes of rose petal.,Dry with vibrant with floral aromas,Mouthwatering fruit flavors of strawberry and cranberry complemented by notes of rose petal,Pairs well with roasted beet salad with goat cheese or halibut fish tacos,"Regions: Monterey, Sonoma and Santa Barbara",Best enjoyed chilled,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.46,3.46,11.82,Inches,3.42,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Kim Crawford Pinot Gris, White Wine, 750 mL Bottle","Kim Crawford's philosophy on making good wine is simple: focus on flavor. With grapes grown between the latitudes of 34 and 47 degrees, Kim Crawford's growing regions cover a distance of 1,000 miles from the northern tip of New Zealand to the southern coast. Within these regions the climates vary and allow winemakers to select from an assortment of grapes producing the diverse and flavorful wines Kim Crawford is known for. Kim Crawford Pinot Gris opens with aromas of ripe pear and quince with honey, floral notes, and a touch of citrus. On the palate, this white wine is clean and fresh with Braeburn apple and florals adding complexity. It is an ideal wine by itself or paired with antipasto, fresh seafood, Southeast Asian cuisine.",13,Kim Crawford,80060630,Wine,,,,"Kim Crawford Pinot Gris, White Wine, 750 mL bottle",Pinot Gris Wine 750mL,"Kim Crawford Pinot Gris, White Wine - 750mL Bottle",Pinot Gris White Wine,Pinot Gris White Wine,750,mL,1,,Bottle,,,"Kim Crawford Pinot Gris opens with aromas of ripe pear and quince with honey, floral notes, and a touch of citrus. On the palate, this white wine is clean and fresh with Braeburn apple and florals.","Aromas of ripe pear and quince with honey, floral notes",Palate that is clean and fresh with Braeburn apple and florals,"Pairs well with antipasto, fresh seafood, or Southeast Asian cuisine",Our philosophy on making good wine is simple: focus on flavor,Growing regions cover northern tip of New Zealand to the southern coast,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,New Zealand,New Zealand,3.39,3.39,10.43,Inches,2.87,Pounds,Ambient: Room Temperature,Shelf Life,999
"Kim Crawford Pinot Noir, Red Wine, 750 mL Bottle","Kim Crawford's philosophy on making good wine is simple: focus on flavor. With grapes grown between the latitudes of 34 and 47 degrees, Kim Crawford's growing regions cover a distance of 1,000 miles from the northern tip of New Zealand to the southern coast. Within these regions the climates vary and allow winemakers to select from an assortment of grapes producing diverse and flavorful wines Kim Crawford is known for. Kim Crawford Pinot Noir tastes of ripe, dark berry flavors of blackberry and black currant. This red wine opens with aromas of dark cherry notes complemented by savory undertones and spicy oak. Pairs well with herb-crusted racks of lamb, mushroom risotto, or all on its own.",13,Kim Crawford,80060631,Wine,,,,"Kim Crawford Pinot Noir, Red Wine, 750 mL bottle",Pinot Noir Wine 750mL,"Kim Crawford Pinot Noir, Red Wine - 750mL Bottle",Pinot Noir Red Wine,Pinot Noir Red Wine,750,mL,1,,Bottle,,,"Kim Crawford Pinot Noir opens with aromas of lifted red berry fruit and dark cherry notes, complemented by spicy oak. This red wine has ripe, dark berry flavors of blackberry and black currant.",Red berry fruit aromas with dark cherry notes,"Ripe, dark berry flavors of blackberry and black currant","Pairs well with herb-crusted racks of lamb, mushroom risotto, or all on its own",Our philosophy on making good wine is simple: focus on flavor,Growing regions cover northern tip of New Zealand to the southern coast,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,New Zealand,New Zealand,3.39,3.39,10.43,Inches,2.87,Pounds,Ambient: Room Temperature,Shelf Life,999
"Robert Mondavi Winery Reserve Napa Valley Cabernet Sauvignon, Red Wine, 750 mL Bottle","The unique geography and climate of the California coast are what allows Robert Mondavi Wines to grow a variety of grapes that give the wines their distinctive character and intense fruit flavor. The grapes soak up sun in the afternoon and are cooled by evening fog. They mature slowly, developing intense, pure fruit flavors unique to California Coastal vineyards. This Robert Mondavi Winery Reserve Cabernet Sauvignon is grown in Napa Valley, California and is a 2015 vintage. This cabernet is full-bodied, rich and concentrated in the mouth, the ripe opulent black fruit is well supported by velvety tannins and plenty of freshness, finishing long and spicy. This wine is composed of 92% cabernet sauvignon, 4% merlot, 2% petit verdot, and 2% cabernet franc.",14.5,Robert Mondavi Winery,80062098,Wine,,Reserve,,"Robert Mondavi Winery Reserve Napa Valley Cabernet Sauvignon, Red Wine, 750 mL bottle",Reserve Cabernet Sauvignon Wine 750mL,"Robert Mondavi Winery Reserve Napa Valley Cabernet Sauvignon, Red Wine - 750mL Bottle",Reserve Napa Valley Cabernet Sauvignon Red Wine,Reserve Napa Valley Cabernet Sauvignon Red Wine,750,mL,1,,Bottle,,,,"Full-bodied, rich and concentrated",Ripe opulent black fruit well supported by velvety tannins,Geography and climate of California produces grapes with an intense fruit flavor,Delicious grapes give Robert Mondavi wines a distinctive character and intense flavor,Pure fruit flavors unique to California coastal vineyards,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.04,3.04,12.32,Inches,3.76,Pounds,Ambient: Room Temperature,Shelf Life,1825
